DATE,OHMFG
1990-01-01,1044.2
1990-02-01,1061.5
1990-03-01,1064.7
1990-04-01,1068.8
1990-05-01,1068.4
1990-06-01,1069.3
1990-07-01,1067.8
1990-08-01,1066.3
1990-09-01,1065.2
1990-10-01,1059.1
1990-11-01,1042.7
1990-12-01,1038.7
1991-01-01,1034.1
1991-02-01,1019.9
1991-03-01,1019.8
1991-04-01,1019.3
1991-05-01,1019.0
1991-06-01,1021.1
1991-07-01,1017.8
1991-08-01,1019.3
1991-09-01,1016.7
1991-10-01,1013.7
1991-11-01,1012.5
1991-12-01,1009.4
1992-01-01,1004.4
1992-02-01,1002.7
1992-03-01,996.5
1992-04-01,1000.6
1992-05-01,998.8
1992-06-01,994.7
1992-07-01,993.1
1992-08-01,987.8
1992-09-01,984.8
1992-10-01,986.3
1992-11-01,985.4
1992-12-01,983.6
1993-01-01,983.7
1993-02-01,982.5
1993-03-01,979.9
1993-04-01,977.9
1993-05-01,978.8
1993-06-01,979.5
1993-07-01,982.4
1993-08-01,983.1
1993-09-01,987.0
1993-10-01,975.2
1993-11-01,978.9
1993-12-01,982.6
1994-01-01,989.9
1994-02-01,991.6
1994-03-01,994.2
1994-04-01,994.1
1994-05-01,997.9
1994-06-01,999.8
1994-07-01,1003.0
1994-08-01,1006.6
1994-09-01,1011.5
1994-10-01,1015.4
1994-11-01,1020.1
1994-12-01,1024.7
1995-01-01,1030.7
1995-02-01,1034.1
1995-03-01,1037.6
1995-04-01,1040.9
1995-05-01,1040.4
1995-06-01,1040.7
1995-07-01,1035.3
1995-08-01,1040.5
1995-09-01,1040.8
1995-10-01,1037.2
1995-11-01,1037.2
1995-12-01,1035.8
1996-01-01,1033.6
1996-02-01,1036.1
1996-03-01,1023.1
1996-04-01,1031.0
1996-05-01,1030.0
1996-06-01,1031.1
1996-07-01,1031.7
1996-08-01,1031.4
1996-09-01,1029.2
1996-10-01,1028.8
1996-11-01,1025.4
1996-12-01,1027.0
1997-01-01,1025.6
1997-02-01,1025.5
1997-03-01,1027.3
1997-04-01,1028.7
1997-05-01,1028.5
1997-06-01,1028.5
1997-07-01,1019.4
1997-08-01,1027.9
1997-09-01,1027.5
1997-10-01,1027.4
1997-11-01,1030.8
1997-12-01,1032.1
1998-01-01,1028.7
1998-02-01,1031.1
1998-03-01,1031.3
1998-04-01,1036.5
1998-05-01,1035.3
1998-06-01,1032.3
1998-07-01,999.7
1998-08-01,1032.9
1998-09-01,1033.6
1998-10-01,1034.3
1998-11-01,1033.3
1998-12-01,1031.1
1999-01-01,1031.3
1999-02-01,1028.9
1999-03-01,1028.6
1999-04-01,1028.4
1999-05-01,1026.9
1999-06-01,1026.3
1999-07-01,1026.2
1999-08-01,1029.4
1999-09-01,1028.1
1999-10-01,1028.0
1999-11-01,1028.8
1999-12-01,1031.6
2000-01-01,1032.4
2000-02-01,1032.9
2000-03-01,1031.5
2000-04-01,1029.0
2000-05-01,1026.7
2000-06-01,1025.4
2000-07-01,1020.9
2000-08-01,1017.7
2000-09-01,1015.3
2000-10-01,1014.1
2000-11-01,1011.5
2000-12-01,1005.9
2001-01-01,999.0
2001-02-01,991.7
2001-03-01,985.5
2001-04-01,975.0
2001-05-01,964.3
2001-06-01,957.0
2001-07-01,950.3
2001-08-01,940.2
2001-09-01,930.4
2001-10-01,924.2
2001-11-01,916.3
2001-12-01,909.6
2002-01-01,900.7
2002-02-01,896.7
2002-03-01,893.3
2002-04-01,890.4
2002-05-01,889.1
2002-06-01,887.7
2002-07-01,884.7
2002-08-01,884.0
2002-09-01,881.1
2002-10-01,876.8
2002-11-01,873.3
2002-12-01,869.5
2003-01-01,868.3
2003-02-01,863.4
2003-03-01,859.0
2003-04-01,851.2
2003-05-01,851.4
2003-06-01,845.0
2003-07-01,838.0
2003-08-01,834.7
2003-09-01,831.7
2003-10-01,829.0
2003-11-01,828.4
2003-12-01,825.5
2004-01-01,824.9
2004-02-01,824.9
2004-03-01,825.0
2004-04-01,825.5
2004-05-01,825.4
